     6.932110395, 96799895, , cache-references, 99986091, 100.00, , 
     6.932110395, 102697466, , ldst_spec, 99986091, 100.00, , 
     7.032260801, 1177, , cache-misses, 99985925, 100.00, 0.001, of all cache refs
     7.032260801, 96885732, , cache-references, 99985925, 100.00, , 
     7.032260801, 102480389, , ldst_spec, 99985925, 100.00, , 
     7.132417096, 1355, , cache-misses, 99978334, 100.00, 0.001, of all cache refs
     7.132417096, 96632131, , cache-references, 99978334, 100.00, , 
     7.132417096, 102731709, , ldst_spec, 99978334, 100.00, , 
     7.232580058, 1230, , cache-misses, 99985223, 100.00, 0.001, of all cache refs
     7.232580058, 96640439, , cache-references, 99985223, 100.00, , 
     7.232580058, 102657147, , ldst_spec, 99985223, 100.00, , 
     7.332733316, 1333, , cache-misses, 99951702, 100.00, 0.001, of all cache refs
     7.332733316, 96840256, , cache-references, 99951702, 100.00, , 
     7.332733316, 102680236, , ldst_spec, 99951702, 100.00, , 
     7.432885111, 1327, , cache-misses, 99977980, 100.00, 0.001, of all cache refs
     7.432885111, 96700095, , cache-references, 99977980, 100.00, , 
     7.432885111, 102601838, , ldst_spec, 99977980, 100.00, , 
     7.533035499, 1302, , cache-misses, 99986259, 100.00, 0.001, of all cache refs
     7.533035499, 96716781, , cache-references, 99986259, 100.00, , 
     7.533035499, 102739556, , ldst_spec, 99986259, 100.00, , 
     7.633186591, 1169, , cache-misses, 99986795, 100.00, 0.001, of all cache refs
     7.633186591, 96731982, , cache-references, 99986795, 100.00, , 
     7.633186591, 102778875, , ldst_spec, 99986795, 100.00, , 
     7.733336905, 1305, , cache-misses, 99978333, 100.00, 0.001, of all cache refs
     7.733336905, 96643360, , cache-references, 99978333, 100.00, , 
     7.733336905, 102779042, , ldst_spec, 99978333, 100.00, , 
     7.833489700, 1179, , cache-misses, 99986742, 100.00, 0.001, of all cache refs
     7.833489700, 96582904, , cache-references, 99986742, 100.00, , 
     7.833489700, 102888122, , ldst_spec, 99986742, 100.00, , 
     7.933640884, 1261, , cache-misses, 99986352, 100.00, 0.001, of all cache refs
     7.933640884, 97520846, , cache-references, 99986352, 100.00, , 
     7.933640884, 103573095, , ldst_spec, 99986352, 100.00, , 
     8.033792143, 1172, , cache-misses, 99986555, 100.00, 0.001, of all cache refs
     8.033792143, 97332646, , cache-references, 99986555, 100.00, , 
     8.033792143, 103352832, , ldst_spec, 99986555, 100.00, , 
     8.133940976, 1187, , cache-misses, 99986224, 100.00, 0.001, of all cache refs
     8.133940976, 97350804, , cache-references, 99986224, 100.00, , 
     8.133940976, 103300286, , ldst_spec, 99986224, 100.00, , 
     8.234093531, 1313, , cache-misses, 99989200, 100.00, 0.001, of all cache refs
     8.234093531, 97390006, , cache-references, 99989200, 100.00, , 
     8.234093531, 103405116, , ldst_spec, 99989200, 100.00, , 
     8.334244882, 1357, , cache-misses, 99947629, 100.00, 0.001, of all cache refs
     8.334244882, 97296539, , cache-references, 99947629, 100.00, , 
     8.334244882, 103440740, , ldst_spec, 99947629, 100.00, , 
     8.434396715, 1244, , cache-misses, 99985611, 100.00, 0.001, of all cache refs
     8.434396715, 97432333, , cache-references, 99985611, 100.00, , 
     8.434396715, 103362360, , ldst_spec, 99985611, 100.00, , 
     8.534549048, 1289, , cache-misses, 99978405, 100.00, 0.001, of all cache refs
     8.534549048, 97421681, , cache-references, 99978405, 100.00, , 
     8.534549048, 103345969, , ldst_spec, 99978405, 100.00, , 
     8.634697825, 1162, , cache-misses, 99981741, 100.00, 0.001, of all cache refs
     8.634697825, 97455726, , cache-references, 99981741, 100.00, , 
     8.634697825, 103411401, , ldst_spec, 99981741, 100.00, , 
     8.734846899, 1512, , cache-misses, 99979517, 100.00, 0.002, of all cache refs
     8.734846899, 97356197, , cache-references, 99979517, 100.00, , 
     8.734846899, 103501903, , ldst_spec, 99979517, 100.00, , 
     8.835001528, 1225, , cache-misses, 99989518, 100.00, 0.001, of all cache refs
     8.835001528, 97365492, , cache-references, 99989518, 100.00, , 
     8.835001528, 103548050, , ldst_spec, 99989518, 100.00, , 
     8.935149768, 1215, , cache-misses, 99982036, 100.00, 0.001, of all cache refs
     8.935149768, 97637820, , cache-references, 99982036, 100.00, , 
     8.935149768, 103601975, , ldst_spec, 99982036, 100.00, , 
     9.035298527, 1171, , cache-misses, 99987147, 100.00, 0.001, of all cache refs
     9.035298527, 97708376, , cache-references, 99987147, 100.00, , 
     9.035298527, 103529977, , ldst_spec, 99987147, 100.00, , 
     9.135449583, 1200, , cache-misses, 99989572, 100.00, 0.001, of all cache refs
     9.135449583, 97800709, , cache-references, 99989572, 100.00, , 
     9.135449583, 103431687, , ldst_spec, 99989572, 100.00, , 
     9.235600453, 1256, , cache-misses, 99981481, 100.00, 0.001, of all cache refs
     9.235600453, 97783323, , cache-references, 99981481, 100.00, , 
     9.235600453, 103492747, , ldst_spec, 99981481, 100.00, , 
     9.335752471, 1197, , cache-misses, 99986184, 100.00, 0.001, of all cache refs
     9.335752471, 97797384, , cache-references, 99986184, 100.00, , 
     9.335752471, 103542476, , ldst_spec, 99986184, 100.00, , 
     9.435873046, 1343, , cache-misses, 99931278, 100.00, 0.001, of all cache refs
     9.435873046, 97699857, , cache-references, 99931278, 100.00, , 
     9.435873046, 103482409, , ldst_spec, 99931278, 100.00, , 
     9.536023916, 1205, , cache-misses, 99981499, 100.00, 0.001, of all cache refs
     9.536023916, 97655219, , cache-references, 99981499, 100.00, , 
     9.536023916, 103748150, , ldst_spec, 99981499, 100.00, , 
     9.636176823, 1174, , cache-misses, 99985851, 100.00, 0.001, of all cache refs
     9.636176823, 97710701, , cache-references, 99985851, 100.00, , 
